DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
7/1/2014,NO 15/9-F-1 C,215.39,108.11,160.42,,46.79,54.97,56.25,26.56,563.26,84307.54,78.69
7/2/2014,NO 15/9-F-1 C,215.41,108.12,160.60,,46.80,54.81,51.65,26.39,564.26,84364.91,78.72
7/3/2014,NO 15/9-F-1 C,215.33,108.12,160.78,,46.80,54.55,50.82,26.13,565.09,84351.11,78.88
7/4/2014,NO 15/9-F-1 C,215.21,108.13,161.10,,46.85,54.11,51.42,25.68,563.73,84183.26,79.55
7/5/2014,NO 15/9-F-1 C,215.12,108.13,161.48,,46.86,53.63,54.23,25.20,563.46,83869.61,79.95
7/6/2014,NO 15/9-F-1 C,215.07,108.13,161.97,,46.86,53.09,56.64,24.66,563.38,83853.80,80.30
7/7/2014,NO 15/9-F-1 C,215.07,108.14,162.41,,46.82,52.66,54.97,24.23,522.00,77846.76,154.47
7/8/2014,NO 15/9-F-1 C,215.05,108.14,163.02,,46.80,52.02,57.49,23.59,523.33,77885.20,247.10
7/9/2014,NO 15/9-F-1 C,215.14,108.14,163.89,,46.81,51.25,56.12,22.80,521.97,77858.58,247.09
7/10/2014,NO 15/9-F-1 C,215.17,108.14,164.23,,46.79,50.93,57.49,22.48,490.49,73240.81,212.89
7/11/2014,NO 15/9-F-1 C,215.19,108.14,164.70,,46.79,50.49,56.12,22.04,491.71,72894.63,253.18
7/12/2014,NO 15/9-F-1 C,215.46,108.14,165.93,,46.86,49.54,56.63,21.08,488.44,72637.03,203.87
7/13/2014,NO 15/9-F-1 C,215.76,108.13,166.74,,46.80,49.02,57.20,20.54,481.59,71515.34,199.79
7/14/2014,NO 15/9-F-1 C,215.98,108.12,167.41,,47.00,48.57,56.78,20.10,492.02,73095.92,215.32
7/15/2014,NO 15/9-F-1 C,215.05,108.15,166.19,,47.89,48.86,56.40,20.38,476.08,70443.10,246.80
7/16/2014,NO 15/9-F-1 C,214.83,108.15,166.34,,47.76,48.49,56.42,20.02,466.34,69327.14,243.78
7/17/2014,NO 15/9-F-1 C,214.76,108.15,166.58,,47.71,48.18,55.03,19.71,463.64,68816.51,241.88
7/18/2014,NO 15/9-F-1 C,214.92,108.15,167.47,,47.70,47.45,58.94,19.01,459.37,68361.17,240.96
7/19/2014,NO 15/9-F-1 C,215.04,108.15,167.64,,47.69,47.40,58.31,18.92,458.09,68466.24,240.67
7/20/2014,NO 15/9-F-1 C,216.05,108.02,168.83,,43.93,47.22,55.55,18.54,290.87,44919.06,139.31
7/21/2014,NO 15/9-F-1 C,215.11,108.14,170.30,,47.98,44.81,56.70,16.29,487.33,72965.95,255.69
7/22/2014,NO 15/9-F-1 C,215.06,108.18,168.72,,47.70,46.35,58.76,17.87,468.63,69274.03,242.24
7/23/2014,NO 15/9-F-1 C,215.21,108.18,169.05,,47.72,46.16,58.98,17.68,465.25,69890.63,239.87
7/24/2014,NO 15/9-F-1 C,215.38,108.18,169.28,,47.63,46.10,59.72,17.61,466.58,69742.96,232.45
7/25/2014,NO 15/9-F-1 C,215.53,108.18,169.77,,47.66,45.76,59.47,17.27,464.22,69237.42,233.39
7/26/2014,NO 15/9-F-1 C,215.61,108.18,170.11,,47.61,45.50,60.04,17.05,458.90,68830.60,251.50
7/27/2014,NO 15/9-F-1 C,215.84,108.18,170.96,,47.59,44.89,58.89,16.44,460.83,68637.71,260.12
7/28/2014,NO 15/9-F-1 C,216.09,108.18,171.45,,47.60,44.64,59.25,16.20,457.95,68330.74,245.26
7/29/2014,NO 15/9-F-1 C,215.97,108.19,171.37,,48.13,44.60,56.66,16.15,481.51,71884.80,258.75
7/30/2014,NO 15/9-F-1 C,214.63,108.23,169.64,,48.72,44.99,57.16,16.52,489.43,72278.48,243.17
7/31/2014,NO 15/9-F-1 C,215.09,108.22,171.84,,48.72,43.25,58.96,14.72,375.93,56054.71,218.34
8/1/2014,NO 15/9-F-1 C,215.03,108.22,171.36,,48.72,43.67,59.04,15.15,378.38,56399.27,218.27
8/2/2014,NO 15/9-F-1 C,215.16,108.22,172.02,,48.70,43.14,58.06,14.60,379.41,56289.52,217.93
8/3/2014,NO 15/9-F-1 C,215.13,108.22,171.88,,48.70,43.25,57.61,14.74,377.42,56568.78,212.92
8/4/2014,NO 15/9-F-1 C,212.90,108.26,168.86,,49.54,44.04,56.58,15.52,417.98,61912.18,228.26
8/5/2014,NO 15/9-F-1 C,210.17,108.33,166.76,,49.63,43.41,63.58,14.91,507.75,75078.33,262.22
8/6/2014,NO 15/9-F-1 C,209.82,108.32,167.21,,49.59,42.62,62.68,14.11,469.73,69712.66,252.81
8/7/2014,NO 15/9-F-1 C,210.09,108.31,169.04,,50.19,41.05,60.70,12.54,521.26,77390.65,293.66
8/8/2014,NO 15/9-F-1 C,210.18,108.30,169.82,,50.21,40.37,62.56,11.84,518.32,76994.95,297.20
