,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE
5773,NO 15/9-F-14 H,236.95,106.55,61.46,47.9,90.11,14.3,3135.62,444230.83,2614.74,production,OP
5774,NO 15/9-F-14 H,236.97,106.57,63.29,47.44,90.83,13.81,3180.69,451352.62,2885.57,production,OP
5775,NO 15/9-F-14 H,237.45,106.58,63.27,47.5,91.35,13.86,3165.64,449545.58,2939.23,production,OP
5776,NO 15/9-F-14 H,237.93,106.59,63.18,47.56,91.09,13.91,3153.14,447430.63,2927.32,production,OP
5777,NO 15/9-F-14 H,238.39,106.59,63.17,47.57,90.76,13.93,2832.32,402525.76,2779.43,production,OP
5778,NO 15/9-F-14 H,238.56,106.6,64.41,47.29,91.21,13.63,2840.84,403412.75,2783.22,production,OP
5779,NO 15/9-F-14 H,238.94,106.61,64.95,47.19,91.38,13.58,2819.18,388630.98,2785.05,production,OP
5780,NO 15/9-F-14 H,242.16,106.58,59.09,49.12,88.9,15.83,2233.43,321080.8,2119.03,production,OP
5781,NO 15/9-F-14 H,240.03,106.64,65.33,46.97,90.46,13.62,2805.15,402508.65,2648.69,production,OP
5782,NO 15/9-F-14 H,240.28,106.65,65.25,46.82,91.43,13.43,2824.14,403614.57,2778.74,production,OP
5783,NO 15/9-F-14 H,240.65,106.66,67.27,46.77,91.94,13.35,2817.07,402721.5,2633.91,production,OP
5784,NO 15/9-F-14 H,240.93,106.67,69.34,46.53,92.03,13.1,2831.56,404825.38,2945.57,production,OP
5785,NO 15/9-F-14 H,241.33,106.68,70.25,46.45,92.17,13.01,2834.19,404854.08,3202.2,production,OP
5786,NO 15/9-F-14 H,241.96,106.69,68.73,46.67,92.08,13.25,2849.42,407374.39,3049.57,production,OP
5787,NO 15/9-F-14 H,242.49,106.69,67.99,46.81,92.35,13.38,2825.13,403710.79,2976.1,production,OP
5788,NO 15/9-F-14 H,242.93,106.7,68.17,46.83,92.29,13.39,2812.28,403047.36,2857.42,production,OP
5789,NO 15/9-F-14 H,243.45,106.71,68.12,46.85,92.5,13.42,2800.58,404666.48,2855.22,production,OP
5790,NO 15/9-F-14 H,243.87,106.72,68.93,46.8,92.51,13.34,2808.39,401629.78,2798.98,production,OP
5791,NO 15/9-F-14 H,244.29,106.72,69.69,46.76,92.11,13.29,2814.61,402992.06,2804.14,production,OP
5792,NO 15/9-F-14 H,244.66,106.73,70.97,46.65,91.98,13.17,2821.87,404143.03,2933.93,production,OP
5793,NO 15/9-F-14 H,245.1,106.74,71.16,46.69,92.28,13.2,2817.92,402764.22,3112.21,production,OP
5794,NO 15/9-F-14 H,245.4,106.74,71.18,46.66,92.13,13.18,2755.1,394519.14,2702.56,production,OP
5795,NO 15/9-F-14 H,247.98,106.72,65.78,49.07,92.22,15.61,2534.63,361765.59,2162.27,production,OP
5796,NO 15/9-F-14 H,245.74,106.73,70.23,46.72,92.27,13.26,2778.79,394752.36,3125.92,production,OP
5797,NO 15/9-F-14 H,246.83,106.72,67.33,47.95,91.88,14.41,2649.13,371374.08,2993.44,production,OP
5798,NO 15/9-F-14 H,259.13,106.58,42.27,61.26,91.87,28.09,1602.66,220359.45,1668.46,production,OP
5799,NO 15/9-F-14 H,257.86,106.61,46.69,58.94,91.79,25.92,1858.55,260175.06,1298.1,production,OP
5800,NO 15/9-F-14 H,248.97,106.72,62.17,48.77,92.01,15.33,2696.52,380985.04,2991.67,production,OP
5801,NO 15/9-F-14 H,247.9,106.73,66.38,47.71,92.84,14.22,2735.25,388901.37,2971.34,production,OP
5802,NO 15/9-F-14 H,247.78,106.75,71.01,46.99,92.86,13.47,2773.45,394726.73,2948.37,production,OP
5803,NO 15/9-F-14 H,247.81,106.77,76.64,46.48,92.34,12.94,2810.65,401083.64,3466.63,production,OP
